Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
16.04773129	-5.908157349	-71.38002014	-402.014801	408.3453365
16.05764029	-5.52935791	-71.37661743	-402.2041931	408.5258967
16.06754829	-6.196334839	-71.46226501	-402.840271	409.1766536
16.07745629	-5.759185791	-71.39419556	-401.4407349	407.7805329
16.08736629	-5.413757324	-71.41433716	-402.6663208	408.9859194
16.09727429	-5.277526855	-71.34779358	-401.612793	407.9352834
16.10718129	-5.288009644	-71.12860107	-402.6494141	408.9178299
16.11708929	-5.886901855	-71.49151611	-402.8766174	409.212978
16.12699629	-5.355239868	-71.43865967	-402.2684326	408.5976659
16.13690529	-5.797454834	-71.6762085	-403.1439819	409.5072155
16.14681229	-5.588317871	-71.75813293	-402.098877	408.4898601
16.15672029	-5.320053101	-71.34667969	-402.0314636	408.347829
16.16662829	-6.121902466	-71.24586487	-403.2156372	409.5073883
16.17653529	-5.211624146	-71.69509888	-402.7195435	409.0848065
16.18644429	-5.799713135	-71.48771667	-403.3673096	409.6941746
16.19635429	-5.689819336	-71.56721497	-402.4290161	408.7827703
16.20626329	-5.389450073	-71.55450439	-402.4718628	408.8186561
16.21617329	-5.991439819	-71.74345398	-402.5312805	408.9186378
16.22608129	-5.453018188	-71.63531494	-401.8256226	408.1974825
16.23599029	-5.815887451	-71.75054932	-403.157135	409.5334435
16.24589929	-5.661621094	-71.77500916	-402.0935059	408.4885474
16.25580929	-5.593582153	-71.61705017	-402.6442871	409.0020929
16.26571829	-5.717773438	-71.70710754	-402.5427856	408.91967
16.27562729	-5.400161743	-71.59899902	-402.5229492	408.8768801
16.28553517	-5.890151978	-71.4190979	-403.2452698	409.5633395
16.29544417	-5.793807983	-71.78947449	-402.3871765	408.7820161
16.30535317	-5.694747925	-71.69758606	-402.9848022	409.3528122
16.31526317	-5.812347412	-71.64331055	-402.2330322	408.6048942
16.32517217	-5.25062561	-71.9196167	-402.8363342	409.2396761
16.33508017	-6.127838135	-71.72970581	-403.1101685	409.4881061
16.34498817	-5.95223999	-71.78198242	-402.1248169	408.5247245
16.35489717	-5.607284546	-71.7081604	-402.7409058	409.1133573
16.36480517	-6.184921265	-71.62205505	-402.2633057	408.6364388
16.37471317	-5.388687134	-71.70126343	-402.2547913	408.6306721
16.38462217	-6.001373291	-71.91644287	-402.8538818	409.2667118
16.39453017	-5.573898315	-71.78645325	-401.3622437	407.7695597
16.40444017	-5.775238037	-71.77334595	-402.8391113	409.2237972
16.41434917	-5.750152588	-71.55020142	-402.3996582	408.7517346
16.42425817	-5.659393311	-71.64146423	-402.6461182	409.0090764
16.43416717	-6.220550537	-71.7049408	-403.196106	409.5697665
16.44407517	-5.539581299	-71.60102844	-402.7966309	409.1485306
16.45398417	-5.69694519	-71.57891846	-402.6361694	408.9888528
16.46389417	-5.804214478	-71.21995544	-401.9621582	408.264066
16.47380417	-5.223449707	-71.77471924	-402.6050415	408.9862029
16.48371317	-6.199890137	-71.84971619	-402.750885	409.1565663
16.49362217	-5.585708618	-71.75067139	-401.777832	408.1724945
16.50353117	-5.803131104	-71.746521	-403.1122437	409.4883644
16.51344017	-6.068084717	-71.79594421	-402.4110413	408.8106229
16.52334917	-5.385162354	-72.08853149	-402.6472778	409.0850605
16.53325817	-5.933685303	-71.74801636	-402.8938293	409.2754869
16.54316917	-5.45324707	-71.74371338	-402.2955322	408.6790838
16.55307917	-6.069396973	-71.77973938	-402.9086304	409.2976093
16.56298717	-5.722869873	-71.80184937	-401.8259888	408.2307951
16.57289617	-5.703033447	-71.25735474	-402.7133179	409.0087427
16.58280317	-5.717590332	-71.53022766	-402.4674072	408.8144789
16.59271217	-5.054977417	-71.68537903	-401.8795166	408.2542005
16.60262017	-5.439300537	-71.39668274	-402.9106445	409.2237283
16.61252917	-5.41758728	-71.91751099	-401.8545532	408.275104
16.62243717	-5.28704834	-71.70523071	-402.8294983	409.1957938
16.63234417	-5.711486816	-71.25518799	-402.3413391	408.6422348
16.64225317	-5.314529419	-71.21717834	-401.8803406	408.1763575
16.65216117	-6.001678467	-71.43447876	-402.6466064	408.9782324
16.66206917	-5.360076904	-71.38624573	-402.293335	408.6130858
16.67197717	-5.599029541	-71.48345947	-402.6833496	409.0172541
16.68188517	-5.812042236	-71.43484497	-402.4581604	408.790029
16.69179417	-5.198501587	-71.41995239	-401.9768066	408.3052621
16.70170317	-5.964294434	-71.77563477	-402.5238037	408.9165283
16.71161117	-5.506271362	-71.5526123	-401.6767578	408.0371467
16.72152017	-5.542709351	-71.57351685	-402.6326294	408.982303
16.73142917	-5.989959717	-71.48847961	-402.3307495	408.67654
16.74133817	-5.350189209	-71.77278137	-402.2404785	408.6286324
16.75124717	-5.97895813	-71.73246765	-402.1876221	408.57824
16.76115617	-5.518737793	-71.50186157	-401.7156067	408.0666629
16.77106517	-5.490707397	-71.68403625	-402.8358154	409.2009813
16.78097517	-5.578018188	-71.47685242	-402.4496155	408.785699
