Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
5.08282375	10.51133728	-81.97648621	-391.4877625	400.1166088
5.09273175	4.586746216	-80.10061646	-394.6641846	402.7368441
5.10264075	3.531967163	-83.97271729	-388.9904785	397.9666876
5.11254975	10.50022888	-79.55119324	-395.4033203	403.4630502
5.12245875	-2.786804199	-83.37342834	-392.8070068	401.5672291
5.13236775	12.27630615	-80.84846497	-390.8152161	399.278994
5.14227675	3.047622681	-81.20343018	-394.9945068	403.2665936
5.15218575	4.691467285	-83.2880249	-388.5534058	397.4074157
5.16209375	8.866378784	-79.83480835	-396.3782959	404.4353629
5.17200275	-1.741943359	-83.25	-390.6828918	399.4580314
5.18191175	12.52740479	-80.38877869	-391.9297485	400.2851726
5.19182175	2.481643677	-81.47610474	-393.7526245	402.1015338
5.20173075	4.73248291	-83.41059875	-388.826355	397.7004635
5.21163975	8.156921387	-79.66268921	-396.8539124	404.8526981
5.22154675	-0.726089478	-83.97325134	-389.7246399	398.6694484
5.23145575	13.49357605	-79.24461365	-391.8014832	399.9627327
5.24136575	0.188415527	-82.40359497	-393.4700012	402.006256
5.25127575	5.650405884	-83.08934021	-389.5756836	398.3779346
5.26118575	6.823974609	-79.91365051	-395.7919006	403.8365842
5.27109575	0.818481445	-83.79667664	-389.5049133	398.4176583
5.28100375	11.91551208	-79.36705017	-392.1506348	400.2789383
5.29091175	-0.532974243	-82.93443298	-394.2086792	402.8385371
5.30081975	7.005447388	-83.30845642	-389.480835	398.3524771
5.31072975	6.400039673	-79.76173401	-396.1778259	404.1778872
5.32063875	1.504501343	-84.40002441	-389.2380066	398.2861452
5.33054575	12.11387634	-79.00912476	-394.1553345	402.1785866
5.34045175	-2.16633606	-83.10317993	-392.2762451	400.9881345
5.35035675	8.252960205	-82.51982117	-390.8700562	399.5710613
5.36026275	5.423019409	-79.80484009	-394.725647	402.748753
5.37016775	2.503967285	-83.87561035	-387.904541	396.8769593
5.38007375	11.78462219	-79.27980042	-393.8184814	401.891976
5.38997975	-3.30809021	-83.235672	-394.1702576	402.8762993
5.39988475	10.57952881	-82.08985901	-390.6224365	399.295078
5.40978975	4.661529541	-79.9708252	-395.4077454	403.4406373
5.41969575	4.141799927	-83.83248901	-387.8701782	396.8479758
5.42960475	10.15652466	-80.06716919	-396.0802612	404.2195937
5.43951275	-2.930786133	-83.40393066	-391.6369629	400.4301635
5.44942075	10.75021362	-81.43070984	-391.6099548	400.1310839
5.45932975	4.579864502	-80.69291687	-394.6417236	402.8329828
5.46923875	3.989700317	-83.43630981	-388.6956177	397.5698916
5.47914775	9.629440308	-80.02197266	-395.4295349	403.5601062
5.48905675	-2.449020386	-83.20077515	-391.0184326	399.779666
5.49896475	12.97523499	-79.7191925	-391.2313232	399.4814823
5.50887275	2.742218018	-81.42127991	-394.5714111	402.8939601
5.51878075	5.067657471	-83.04754639	-388.5710449	397.378954
5.52868975	8.286132813	-79.83551025	-396.020874	404.0728911
5.53859875	-0.840560913	-83.47744751	-390.4520264	399.2768159
5.54850675	12.07722473	-79.60476685	-391.4364319	399.6314033
5.55841475	1.61026001	-81.80142212	-394.33078	402.7292263
5.56832375	5.265411377	-83.38117981	-388.7723694	397.6482125
5.57823175	7.230758667	-79.52026367	-397.1807861	405.1275516
5.58813975	-0.382522583	-84.39822388	-389.8162231	398.8482097
5.59804675	12.62179565	-78.76361084	-393.1934204	401.2032926
5.60795475	-0.495849609	-82.48348999	-393.0918274	401.6527813
5.61786275	6.356018066	-83.18647766	-390.83078	399.6361941
5.62777175	6.220474243	-79.61877441	-395.3598022	403.3450344
5.63767975	1.122344971	-84.44589233	-389.9373474	398.9780737
5.64758875	12.24595642	-79.05804443	-392.6422729	400.7094862
5.65749775	-1.785812378	-82.69586182	-394.9229126	403.4921332
5.66740575	7.504379272	-83.08824158	-390.251709	399.0693774
5.67731375	5.662902832	-79.66767883	-396.0302124	404.0036345
5.68722175	2.415710449	-84.15873718	-388.633606	397.6488506
5.69712975	11.50816345	-79.59863281	-394.9000854	403.0067712
5.70703775	-3.258010864	-82.74888611	-392.684845	401.3220406
5.71694575	8.412002563	-82.53765869	-391.4344177	400.1301417
5.72685375	5.258865356	-80.18052673	-395.9176025	403.9892579
5.736760125	2.291351318	-83.46102905	-388.7973022	397.6610817
5.746668125	10.87266541	-80.32595825	-394.82724	403.0620596
5.756575125	-3.460159302	-83.58724976	-393.1902466	401.9917549
5.766483125	10.52603149	-81.38931274	-390.8088074	399.3326201
5.776391125	4.065414429	-80.89199829	-395.2163086	403.4302586
5.786298125	3.805999756	-83.41758728	-387.8305359	396.7184191
5.796206125	9.997467041	-79.8407135	-395.9894714	404.081861
5.806115125	-2.257736206	-83.2013855	-391.7852783	400.5287408
5.816022125	11.06629944	-80.73057556	-391.137085	399.5348646
5.825930125	3.716033936	-80.7059021	-394.938446	403.117387
5.835838125	3.955444336	-83.54389954	-388.6624756	397.5597422
5.845748125	8.848907471	-79.72315979	-396.9815674	405.0042595
5.855656125	-1.645950317	-84.43908691	-391.543335	400.548189
5.865565125	12.95484924	-79.35899353	-392.1436157	400.3027521
5.875473125	2.001785278	-81.70019531	-394.1181335	402.502214
5.885380125	4.6068573	-83.15473938	-389.4404297	398.2458814
5.895290125	7.556686401	-79.67153931	-396.1589355	404.1615517
5.905199125	-0.031539917	-84.56547546	-390.8394165	399.8834457
5.915107125	12.72232056	-79.45188904	-391.9560547	400.12999
5.925016125	0.655685425	-81.85903931	-395.1607666	403.5509431
5.934924125	5.760940552	-83.5012207	-389.5111694	398.402552
5.944831125	6.691329956	-79.42727661	-397.1804199	405.0996817
5.954737125	0.53742981	-84.38446045	-389.0840454	398.1299039
5.964645125	12.99545288	-79.44979858	-393.3231201	401.4775574
5.974553125	-1.358047485	-82.34863281	-392.7559204	401.2983362
5.984460125	6.863571167	-83.46893311	-390.3263855	399.2102937
5.994368125	6.520462036	-79.55085754	-395.4442139	403.4191141
6.004277125	0.834899902	-83.76512146	-389.0926208	398.0079902
6.014185125	12.16615295	-79.57043457	-393.2840576	401.4371922
6.024093125	-3.325759888	-82.85231018	-394.6529541	403.2697858
6.034001125	8.297927856	-82.38621521	-390.3675537	399.0528424
6.043909125	4.897659302	-80.26223755	-395.6897583	403.7776599
6.053818125	2.289474487	-83.77645874	-388.1325073	397.0775491
6.063726125	11.04489136	-80.07362366	-395.3716431	403.5498866
6.073634125	-3.189376831	-83.26548767	-392.4004517	401.1501315
6.083543125	8.870895386	-81.7568512	-391.1329956	399.6847455
6.093451125	5.1980896	-80.59138489	-395.3328857	403.4973135
6.103359125	2.803268433	-83.74073792	-388.2834473	397.2208516
6.113267125	10.47538757	-79.70755005	-395.7246704	403.8081748
6.123175125	-3.36807251	-84.32147217	-392.4389648	401.4097604
6.133083125	11.27122498	-80.3677063	-391.2336426	399.5619749
6.142991125	3.525787354	-81.00061035	-394.4839783	402.7296105
6.152899125	4.188034058	-83.32359314	-388.6570129	397.5105464
6.162807125	8.897994995	-79.77203369	-395.6275635	403.6879001
6.172715125	-1.601593018	-83.92248535	-391.6139526	400.5084725
6.182623125	11.85820007	-79.91557312	-390.713562	398.9789509
6.192531125	2.633987427	-81.01516724	-394.9705811	403.2023749
6.202438125	4.500167847	-83.30741882	-388.6841431	397.5370934
6.212345125	8.145812988	-79.15701294	-396.9407959	404.8384646
6.222252125	-1.128845215	-84.5993042	-390.4434814	399.50523
6.232159125	13.15977478	-79.21192932	-392.630188	400.7570011
6.242066125	1.165756226	-81.36433411	-393.3057861	401.6353511
6.251973125	5.455856323	-83.7298584	-389.6555176	398.587353
6.261881125	6.864959717	-79.84425354	-395.8875732	403.9173222
6.271789125	-0.152862549	-84.69013977	-390.3110962	399.3935339
6.281696125	12.78514099	-79.92643738	-391.9865723	400.2563779
6.291603125	-0.819473267	-81.78015137	-394.9584961	403.337177
6.301510125	6.305526733	-83.45133972	-389.1875	398.0839056
6.311418125	5.890472412	-79.95407104	-396.442688	404.4677441
6.321324125	0.947036743	-83.83836365	-388.5941772	397.5364168
6.331232125	12.15193176	-79.88876343	-394.0083313	402.2094592
6.341140125	-1.760467529	-82.43344116	-392.6437988	401.2075825
6.351047125	7.304885864	-83.07926941	-390.513092	399.3194228
